title,description,published date,url,publisher
UF study: Post-COVID mortality risk may be caused by effects of high inflammation during illness - UF Health News,UF study: Post-COVID mortality risk may be caused by effects of high inflammation during illness  UF Health News,"Thu, 12 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vdWZoZWFsdGgub3JnL25ld3MvMjAyMi91Zi1zdHVkeS1wb3N0LWNvdmlkLW1vcnRhbGl0eS1yaXNrLW1heS1iZS1jYXVzZWQtZWZmZWN0cy1oaWdoLWluZmxhbW1hdGlvbi1kdXJpbmctaWxsbmVzc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://ufhealth.org', 'title': 'UF Health News'}"
Jill Biden rejoins president after negative COVID-19 tests - Spectrum News NY1,Jill Biden rejoins president after negative COVID-19 tests  Spectrum News NY1,"Sun, 21 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vbnkxLmNvbS9ueWMvYWxsLWJvcm91Z2hzL25ld3MvMjAyMi8wOC8yMS9qaWxsLWJpZGVuLXRlc3RzLW5lZ2F0aXZlLWZvci1jb3ZpZC0xOS0td2lsbC1nby10by1kZWxhd2FyZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://ny1.com', 'title': 'Spectrum News NY1'}"
COVID-19 pandemic halted breast cancer screenings. Here's how long the delay lasted - Tulane University,COVID-19 pandemic halted breast cancer screenings. Here's how long the delay lasted  Tulane University,"Thu, 19 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vbmV3cy50dWxhbmUuZWR1L3ByL2NvdmlkLTE5LXBhbmRlbWljLWhhbHRlZC1icmVhc3QtY2FuY2VyLXNjcmVlbmluZ3MtaGVyZXMtaG93LWxvbmctZGVsYXktbGFzdGVk0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.tulane.edu', 'title': 'Tulane University'}"
COVID-19 report details continuing Veteran health care support - VA News - VA.gov Home | Veterans Affairs,COVID-19 report details continuing Veteran health care support - VA News  VA.gov Home | Veterans Affairs,"Sun, 01 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vbmV3cy52YS5nb3YvMTI0MjkwL2NvdmlkLTE5LXJlcG9ydC1kZXRhaWxzLWhlYWx0aC1jYXJlLXN1cHBvcnQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.va.gov', 'title': 'VA.gov Home | Veterans Affairs'}"
"Newsom rescinds California's COVID-19 state of emergency, marking an end to the pandemic era - Los Angeles Times","Newsom rescinds California's COVID-19 state of emergency, marking an end to the pandemic era  Los Angeles Times","Tue, 28 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5sYXRpbWVzLmNvbS9jYWxpZm9ybmlhL3N0b3J5LzIwMjMtMDItMjgvbmV3c29tLXJlc2NpbmRzLWNhbGlmb3JuaWFzLWNvdmlkLTE5LXN0YXRlLW9mLWVtZXJnZW5jeS1tYXJraW5nLWFuLWVuZC10by10aGUtcGFuZGVtaWMtZXJh0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.latimes.com', 'title': 'Los Angeles Times'}"
"Biden tests positive for Covid again, has Paxlovid rebound and no symptoms, doctor says - NBC News","Biden tests positive for Covid again, has Paxlovid rebound and no symptoms, doctor says  NBC News","Sat, 30 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzL2pvZS1iaWRlbi9iaWRlbi10ZXN0cy1wb3NpdGl2ZS1jb3ZpZC1wYXhsb3ZpZC1yZWJvdW5kLWRvY3Rvci1zYXlzLXJjbmE0MDc5MdIBKmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE0MDc5MQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
What is China's zero-COVID policy and how does it work? - Reuters,What is China's zero-COVID policy and how does it work?  Reuters,"Thu, 03 Nov 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2NoaW5hL3doYXQtaXMtY2hpbmFzLXplcm8tY292aWQtcG9saWN5LWhvdy1kb2VzLWl0LXdvcmstMjAyMi0xMS0wMy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
Satisfaction with one's job and working at home in the COVID‐19 pandemic: A two‐wave study - Wiley,Satisfaction with one's job and working at home in the COVID‐19 pandemic: A two‐wave study  Wiley,"Fri, 21 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vaWFhcC1qb3VybmFscy5vbmxpbmVsaWJyYXJ5LndpbGV5LmNvbS9kb2kvYWJzLzEwLjExMTEvYXBwcy4xMjQ0MNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://iaap-journals.onlinelibrary.wiley.com', 'title': 'Wiley'}"
Public health surveillance for COVID-19: interim guidance - World Health Organization (WHO),Public health surveillance for COVID-19: interim guidance  World Health Organization (WHO),"Fri, 22 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lndoby5pbnQvcHVibGljYXRpb25zLWRldGFpbC1yZWRpcmVjdC9XSE8tMjAxOS1uQ29WLVN1cnZlaWxsYW5jZUd1aWRhbmNlLTIwMjIuMtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.who.int', 'title': 'World Health Organization (WHO)'}"
Deglobalisation: here's what you need to know | World Economic Forum - World Economic Forum,Deglobalisation: here's what you need to know | World Economic Forum  World Economic Forum,"Tue, 17 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIzLzAxL2RlZ2xvYmFsaXNhdGlvbi13aGF0LXlvdS1uZWVkLXRvLWtub3ctd2VmMjMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.weforum.org', 'title': 'World Economic Forum'}"
Walgreens Now Offering Updated COVID-19 Booster Appointments for Children Ages 5+ - Walgreens Boots Alliance,Walgreens Now Offering Updated COVID-19 Booster Appointments for Children Ages 5+  Walgreens Boots Alliance,"Thu, 13 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy53YWxncmVlbnNib290c2FsbGlhbmNlLmNvbS9uZXdzLW1lZGlhL3ByZXNzLXJlbGVhc2VzLzIwMjIvd2FsZ3JlZW5zLW5vdy1vZmZlcmluZy11cGRhdGVkLWNvdmlkLTE5LWJvb3N0ZXItYXBwb2ludG1lbnRzLWZvci1jaGlsZHJlbi1hZ2VzLTXSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.walgreensbootsalliance.com', 'title': 'Walgreens Boots Alliance'}"
